Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,42.0,1,1,1,1,160.0,38095.0,1,0,1,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,135.0,32142.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,1,1,210.0,46666.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,1,1,210.0,46666.0,1,0,0,0,0,1,0,1,0,0,0,0
3,88.0,1,0,1,1,340.0,38245.0,1,1,0,0,1,0,0,1,0,0,0,1
4,118.0,0,1,1,1,480.0,40438.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,148.0,35238.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,135.0,32142.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,160.0,38095.0,1,1,0,0,0,0,1,1,0,0,0,0
2,53.0,1,1,1,1,190.0,35849.0,1,0,0,0,1,0,0,1,0,0,0,1
2,45.0,1,1,1,1,185.0,41111.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,117.0,27857.0,1,0,0,0,0,1,0,1,0,0,0,0
1,58.0,1,1,0,1,187.0,31987.0,1,1,0,0,0,1,0,1,0,0,0,1
2,40.0,1,0,1,1,78.0,19500.0,1,1,0,0,0,1,0,1,0,0,0,0
2,80.0,1,1,0,1,385.0,48125.0,1,1,0,0,0,0,1,1,0,0,0,1
2,42.0,1,1,0,1,105.0,25000.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,155.0,36904.0,1,0,0,0,1,0,0,1,0,0,0,0
1,51.0,1,0,0,1,160.0,31372.0,1,1,0,0,1,0,0,1,0,0,0,1
2,48.0,1,1,1,1,180.0,37500.0,1,0,0,0,1,0,0,1,0,0,0,0
1,40.0,1,1,0,1,118.0,29500.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,155.0,36904.0,1,0,1,0,0,0,1,1,0,0,0,0
2,51.0,1,0,1,0,90.0,17647.0,1,0,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,160.0,38095.0,1,0,1,0,0,1,0,1,0,0,0,0
3,106.0,1,0,1,1,312.0,29433.0,1,0,0,0,1,0,0,1,0,0,0,1
2,35.0,1,1,0,1,118.0,33714.0,1,0,0,0,0,1,0,1,0,0,0,0
3,42.0,1,1,1,1,180.0,42857.0,1,0,0,0,0,1,0,1,0,0,0,0
2,40.0,1,0,1,1,90.0,22500.0,1,0,0,0,0,1,0,1,0,0,0,0
3,41.0,1,1,1,1,180.0,43902.0,1,0,0,0,0,1,0,1,0,0,0,0
