Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10
3,89,1,1,1,1,320,35955,1,1,0,0,0,1,0,0,1,0,0
3,89,0,1,1,1,340,37861,1,1,0,0,0,0,1,0,1,0,0
2,89,1,0,1,1,288,32359,1,1,0,0,1,0,0,0,1,0,0
1,49,1,1,0,1,155,31568,0,0,0,1,1,0,0,0,1,0,0
2,42,1,1,1,0,160,38095,1,0,1,0,0,0,0,0,1,0,0
2,54,1,0,0,1,160,29629,1,0,0,0,1,0,0,0,1,0,0
3,89,1,1,1,1,328,36853,1,1,0,0,0,1,0,0,1,0,0
3,89,0,1,1,1,348,38752,1,1,0,0,0,0,1,0,1,0,0
2,53,1,0,0,1,192,35887,1,0,1,0,1,0,0,0,1,0,0
2,48,1,0,0,1,157,32708,1,0,0,0,1,0,0,0,1,0,0
2,49,1,1,1,1,148,30204,1,1,0,0,0,1,0,0,1,0,0
1,59,1,1,1,1,205,34745,1,1,0,0,0,0,1,0,1,0,0
4,230,0,1,1,1,650,28260,1,0,0,0,0,1,0,0,1,0,0
3,89,0,0,1,1,386,43370,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,1,1,148,35238,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,1,1,160,38095,1,0,0,0,0,1,0,0,1,0,0
3,121,1,0,0,0,358,29586,1,1,0,0,0,1,0,0,1,0,0
2,50,1,1,1,1,240,48000,1,0,0,0,0,0,1,0,1,0,0
2,42,1,1,1,1,166,39523,0,0,1,0,0,1,0,0,1,0,0
2,42,1,1,1,1,166,39523,0,0,1,0,0,1,0,0,1,0,0
5,356,1,1,1,1,1850,51966,1,1,0,0,0,1,0,0,1,0,0
1,41,1,1,0,1,90,21951,1,0,0,0,0,1,0,0,1,0,0
3,63,1,1,0,1,255,40476,0,0,1,0,0,1,0,0,1,0,0
2,42,1,1,0,1,120,28571,1,0,0,0,1,0,0,0,1,0,0
4,58,1,1,0,0,139,23965,1,0,1,0,0,1,0,0,1,0,0
1,50,1,1,1,1,145,29000,1,1,0,0,1,0,0,0,1,0,0
2,60,1,0,1,1,240,40000,1,1,0,0,0,1,0,0,1,0,0
5,350,1,1,1,1,1850,52857,1,1,0,0,0,1,0,0,1,0,0
1,60,1,1,1,0,232,38666,1,0,0,0,0,0,0,0,1,0,0
2,53,1,1,1,1,190,35849,1,0,0,0,1,0,0,0,1,0,0
2,53,1,1,1,1,190,35849,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,1,1,135,32142,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,150,35714,1,0,0,0,0,1,0,0,1,0,0
2,50,1,1,1,1,215,43000,1,0,0,0,0,1,0,0,1,0,0
2,53,1,1,1,1,190,35849,1,0,0,0,1,0,0,0,1,0,0
1,42,1,1,1,1,155,36904,1,1,0,0,1,0,0,0,1,0,0
3,89,1,0,1,1,278,31235,1,1,0,0,0,0,1,0,1,0,0
4,138,1,1,1,0,405,29347,1,1,0,0,0,0,0,0,1,0,0
1,45,1,1,0,0,98,21777,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,153.4,36523,1,0,0,0,0,1,0,0,1,0,0
2,50,1,1,1,1,180,36000,1,0,0,0,1,0,0,0,1,0,0
2,73,1,1,1,1,311,42602,1,1,0,0,0,1,0,0,1,0,0
1,51,1,0,0,1,160,31372,1,1,0,0,1,0,0,0,1,0,0
1,51,1,1,1,1,146,28627,1,1,0,0,0,1,0,0,1,0,0
3,89,1,1,1,1,280,31460,1,1,0,0,0,1,0,0,1,0,0
3,87,0,1,1,1,400,45610,1,1,0,0,0,0,1,0,1,0,0
2,42,1,1,0,1,170,40476,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,89,21190,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,166,39523,0,0,1,0,0,1,0,0,1,0,0
3,137,1,0,0,1,800,58076,0,0,1,0,0,1,0,0,1,0,0
1,48,1,1,0,1,195,40206,0,0,0,1,0,1,0,0,1,0,0
3,102,1,0,0,1,650,63725,1,1,0,0,1,0,0,0,1,0,0
2,50,1,0,1,1,163,32600,1,1,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,83,18444,1,0,0,0,0,0,1,0,1,0,0
2,42,1,1,0,1,166,39523,1,0,1,0,0,1,0,0,1,0,0
2,42,1,0,0,1,136,32380,1,0,1,0,0,1,0,0,1,0,0
2,48,1,1,0,1,185.6,38110,1,1,0,0,1,0,0,0,1,0,0
2,42,1,1,0,1,168,40000,1,0,0,0,0,0,1,0,1,0,0
5,197,0,0,0,1,1150,58251,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,1,1,155,36904,1,0,0,0,0,1,0,0,1,0,0
2,51,1,1,1,1,150,29411,1,0,0,0,1,0,0,0,1,0,0
3,89,0,0,1,1,310,34831,1,0,0,0,1,0,0,0,1,0,0
2,51,1,1,0,1,156,30588,1,0,0,0,0,1,0,0,1,0,0
2,87,1,1,0,1,415,47701,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,0,1,160,38095,1,0,0,0,1,0,0,0,1,0,0
2,42,1,1,1,0,160,38095,1,0,1,0,0,0,0,0,1,0,0
3,48,1,1,1,1,180,37500,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,170,40476,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,155,36904,1,1,0,0,0,0,1,0,1,0,0
1,51,1,1,1,1,150,29126,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,1,1,172,40952,1,0,0,0,1,0,0,0,1,0,0
2,57,1,1,1,1,250,43859,1,0,0,0,0,1,0,0,1,0,0
2,45,1,1,0,1,183,40666,1,1,0,0,1,0,0,0,1,0,0
4,135,0,0,1,1,480,35555,1,1,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,180,39215,1,0,0,0,0,1,0,0,1,0,0
1,40,1,1,0,1,118,29500,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,160,38095,1,0,1,0,0,1,0,0,1,0,0
2,42,1,1,1,1,155,36904,1,0,1,0,0,0,1,0,1,0,0
2,42,1,0,1,1,118,28095,1,0,0,0,0,1,0,0,1,0,0
2,35,1,1,0,1,118,33714,1,0,0,0,0,1,0,0,1,0,0
2,40,1,0,1,1,90,22500,1,0,0,0,0,1,0,0,1,0,0
2,60,1,0,1,1,120,20000,1,0,0,0,0,1,0,0,1,0,0
3,89,0,0,1,1,280,31460,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,156,37142,1,0,1,0,1,0,0,0,1,0,0
1,47,1,1,1,1,165,35106,0,0,1,0,1,0,0,0,1,0,0
4,138,1,0,1,1,580,42028,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,148,35238,1,1,0,0,0,1,0,0,1,0,0
2,54,1,0,1,1,165,30555,1,0,0,0,1,0,0,0,1,0,0
1,63,1,1,1,1,190,30158,1,0,0,0,0,1,0,0,1,0,0
3,65,1,1,1,1,240,36923,1,1,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,168,37333,1,1,0,0,0,1,0,0,1,0,0
3,55,1,0,1,1,206,37454,1,1,0,0,0,1,0,0,1,0,0
2,49,1,1,1,1,150,30525,1,1,0,0,1,0,0,0,1,0,0
1,42,1,1,1,1,130,30952,0,0,1,0,0,1,0,0,1,0,0
2,50,1,1,1,1,195,39000,1,0,0,0,0,1,0,0,1,0,0
3,105,0,0,1,1,630,59704,1,0,1,0,0,1,0,0,1,0,0
1,47,1,1,1,1,168,35744,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,160,38095,1,0,1,0,0,1,0,0,1,0,0
1,58,0,1,1,1,163,27702,1,0,1,0,0,0,1,0,1,0,0
3,64,1,0,1,1,240,37500,1,1,0,0,0,1,0,0,1,0,0
3,80,1,1,1,1,275,34375,0,0,0,1,0,1,0,0,1,0,0
2,89,1,0,0,1,375,42134,1,1,0,0,0,1,0,0,1,0,0
3,129,0,0,0,1,565,43646,1,1,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,210,46666,1,0,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,210,46666,1,0,0,0,0,1,0,0,1,0,0
3,88,1,0,1,1,340,38245,1,1,0,0,1,0,0,0,1,0,0
2,42,1,1,1,1,160,38095,1,1,0,0,0,0,1,0,1,0,0
3,89,1,0,1,1,320,35955,1,1,0,0,1,0,0,0,1,0,0
2,53,1,1,1,1,190,35849,1,0,0,0,1,0,0,0,1,0,0
2,42,1,0,0,1,117,27857,1,0,0,0,0,1,0,0,1,0,0
1,58,1,1,0,1,187,31987,1,1,0,0,0,1,0,0,1,0,0
4,118,0,1,1,1,480,40438,1,1,0,0,0,1,0,0,1,0,0
2,40,1,0,1,1,78,19500,1,1,0,0,0,1,0,0,1,0,0
2,40,1,0,1,1,90,22500,1,0,0,0,0,1,0,0,1,0,0
2,51,1,1,1,1,95,18627,1,0,0,0,1,0,0,0,1,0,0
2,48,1,1,1,1,170,35416,0,1,0,0,0,1,0,0,1,0,0
4,185,1,1,1,1,980,52972,1,1,0,0,0,1,0,0,1,0,0
2,46,1,1,1,1,170,36956,1,1,0,0,1,0,0,0,1,0,0
3,67,1,1,1,1,200,29850,1,1,0,0,0,1,0,0,1,0,0
1,51,1,1,1,1,132,25882,1,1,0,0,0,1,0,0,1,0,0
1,54,1,1,1,1,110,20220,1,0,0,0,0,1,0,0,1,0,0
1,40,1,1,1,1,115,28750,1,1,0,0,0,0,1,0,1,0,0
5,349,1,0,0,1,1850,53008,1,0,0,0,1,0,0,0,1,0,0
3,106,1,0,1,1,312,29433,1,0,0,0,1,0,0,0,1,0,0
2,35,1,1,0,1,118,33714,1,0,0,0,0,1,0,0,1,0,0
2,40,1,0,1,1,90,22500,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,153.4,36523,1,0,0,0,0,1,0,0,1,0,0
2,80,1,1,0,1,385,48125,1,1,0,0,0,0,1,0,1,0,0
4,144,1,1,0,1,471,32706,1,0,0,0,0,1,0,0,1,0,0
1,42,1,1,1,1,154,36666,1,0,0,0,1,0,0,0,1,0,0
2,43,1,1,1,1,149,33909,1,0,0,0,0,0,1,0,1,0,0
1,47,1,0,1,1,130,27659,1,1,0,0,1,0,0,0,1,0,0
1,58,1,1,1,1,205,35042,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,0,1,155,36904,1,1,0,0,1,0,0,0,1,0,0
2,42,1,1,1,1,150,35714,1,0,0,0,0,1,0,0,1,0,0
2,53,1,1,0,1,190,35849,1,0,0,0,1,0,0,0,1,0,0
3,89,1,0,0,1,510,57303,1,1,0,0,1,0,0,0,1,0,0
2,42,1,1,0,1,147,35000,1,1,0,0,0,0,1,0,1,0,0
2,49,1,1,1,1,190,38229,1,1,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,179,39777,1,0,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,185,41111,1,0,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,139,30888,1,0,0,0,1,0,0,0,1,0,0
4,81,1,1,1,1,380,46913,1,1,0,0,0,1,0,0,1,0,0
1,45,1,0,0,1,125,27777,1,0,0,0,0,1,0,0,1,0,0
1,45,1,0,0,1,112,24888,1,0,0,0,0,1,0,0,1,0,0
1,54,1,1,0,1,115,21296,0,0,0,1,0,0,1,0,1,0,0
2,55,1,0,0,1,88,16000,1,1,0,0,0,1,0,0,1,0,0
5,356,1,1,1,1,1850,51966,1,1,0,0,0,1,0,0,1,0,0
2,50,1,0,0,1,92,18400,1,0,0,0,0,1,0,0,1,0,0
1,46,1,1,0,1,134.6,29250,1,0,0,1,0,0,1,0,1,0,0
2,42,1,0,1,1,159,37857,1,0,1,0,0,1,0,0,1,0,0
3,89,1,1,1,1,426,47865,1,1,0,0,1,0,0,0,1,0,0
2,49,1,1,1,1,115,23421,0,0,0,1,1,0,0,0,1,0,0
3,87,0,1,1,1,370,42189,1,1,0,0,0,1,0,0,1,0,0
3,46,1,1,1,1,185,40217,1,0,0,0,0,1,0,0,1,0,0
2,50,0,1,1,0,225,45000,1,0,1,0,1,0,0,0,1,0,0
2,45,1,1,1,1,148,32888,1,1,0,0,1,0,0,0,1,0,0
10,296,1,0,0,1,3300,111486,1,1,0,0,0,0,1,0,1,0,0
3,60,1,1,1,1,230,38333,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,148,35238,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,148,35238,1,1,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,160,38095,1,0,1,0,0,1,0,0,1,0,0
2,50,1,1,0,1,216,43200,1,0,0,0,1,0,0,0,1,0,0
1,42,1,1,1,1,112,26666,1,0,0,0,1,0,0,0,1,0,0
1,52,1,1,1,1,110,21153,1,0,0,0,0,1,0,0,1,0,0
1,49,1,1,0,1,160,32653,0,1,1,0,0,1,0,0,1,0,0
1,41,1,0,0,1,114,27804,1,0,0,0,1,0,0,0,1,0,0
1,38,1,0,1,1,98,25789,1,0,0,0,0,0,1,0,1,0,0
2,42,1,0,1,1,160,38095,1,0,0,0,0,1,0,0,1,0,0
3,138,1,0,1,1,620,44691,1,0,0,0,1,0,0,0,1,0,0
2,45,1,1,0,1,145.6,32344,1,0,0,0,0,0,1,0,1,0,0
2,42,1,0,1,1,148,35238,1,0,0,0,0,1,0,0,1,0,0
1,56,1,1,1,1,222,39153,1,1,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,185,41111,1,0,0,0,0,1,0,0,1,0,0
4,158,1,0,1,1,698,44177,1,1,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,190,42222,1,1,0,0,0,1,0,0,1,0,0
4,198,1,0,1,1,758,38282,1,1,0,0,0,1,0,0,1,0,0
4,198,0,0,1,1,750,37878,1,1,0,0,0,0,1,0,1,0,0
1,56,1,1,1,1,222,39153,1,1,0,0,0,1,0,0,1,0,0
1,51,1,0,0,1,160,31372,1,1,0,0,1,0,0,0,1,0,0
4,89,1,1,1,1,500,56179,1,1,0,0,1,0,0,0,1,0,0
2,50,1,1,1,1,180,36000,1,0,0,0,1,0,0,0,1,0,0
2,73,1,1,1,1,311,42602,1,1,0,0,0,1,0,0,1,0,0
3,52,1,1,1,1,255,49038,1,0,0,0,0,1,0,0,1,0,0
1,40,1,1,1,1,149,37250,1,1,0,0,1,0,0,0,1,0,0
1,53,1,0,0,0,100,18867,1,0,0,0,0,0,0,0,1,0,0
2,54,1,0,1,1,165,30555,1,0,0,0,1,0,0,0,1,0,0
1,50,1,1,1,1,165,33000,1,0,0,0,1,0,0,0,1,0,0
2,42,1,1,1,1,132,31428,1,0,0,0,0,1,0,0,1,0,0
3,88,0,1,1,1,360,40909,1,1,0,0,1,0,0,0,1,0,0
2,45,1,1,1,1,128,28444,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,158,37619,1,0,0,0,0,1,0,0,1,0,0
1,69,1,1,1,1,145,21014,1,1,0,0,1,0,0,0,1,0,0
1,42,1,1,0,1,180,42857,1,0,0,0,0,1,0,0,1,0,0
2,70,1,1,1,1,300,42857,0,1,1,0,1,0,0,0,1,0,0
1,43,1,1,1,1,155,36046,1,1,0,0,0,1,0,0,1,0,0
1,42,1,1,1,1,155,36904,1,1,0,0,1,0,0,0,1,0,0
2,48,1,1,1,1,175,36458,1,0,0,0,0,1,0,0,1,0,0
3,106,1,0,1,1,310,29245,1,0,0,0,1,0,0,0,1,0,0
1,40,1,1,1,1,149,37250,1,1,0,0,1,0,0,0,1,0,0
2,47,1,1,0,0,126,26808,1,1,0,0,0,1,0,0,1,0,0
2,51,1,0,1,0,90,17647,1,0,0,0,0,1,0,0,1,0,0
1,45,1,1,1,1,110,24444,1,0,0,0,0,0,1,0,1,0,0
2,50,1,1,1,1,240,48000,1,0,0,0,0,0,1,0,1,0,0
2,42,1,0,1,1,159,37857,1,0,0,0,0,1,0,0,1,0,0
2,58,1,1,1,1,208,35862,1,0,0,0,0,1,0,0,1,0,0
1,58,1,1,1,1,185.6,32000,1,0,0,0,0,0,1,0,1,0,0
1,50,1,1,1,1,165,33000,1,0,0,0,1,0,0,0,1,0,0
3,89,1,1,1,1,330,37078,1,1,0,0,0,1,0,0,1,0,0
3,122,1,1,1,1,400,32786,0,0,1,0,0,1,0,0,1,0,0
2,53,1,1,0,1,175,33018,1,1,0,0,1,0,0,0,1,0,0
2,42,1,0,1,1,145,34523,1,0,0,0,1,0,0,0,1,0,0
2,47,1,1,1,1,185,39361,1,1,0,0,1,0,0,0,1,0,0
5,129,0,1,1,1,498,38604,1,1,0,0,0,0,1,0,1,0,0
1,45,1,1,0,1,120,26666,0,0,0,1,0,1,0,0,1,0,0
4,129,0,1,1,1,430,33333,1,0,0,0,0,0,1,0,1,0,0
2,42,1,1,1,1,168,40000,1,0,0,0,0,1,0,0,1,0,0
1,50,1,1,1,1,175,35000,0,0,1,0,0,1,0,0,1,0,0
2,58,1,1,1,1,220,37931,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,155,36904,1,0,1,0,0,0,1,0,1,0,0
2,42,1,1,1,1,198,47142,1,0,0,0,0,1,0,0,1,0,0
1,49,1,0,0,1,115,23469,1,0,0,0,0,1,0,0,1,0,0
2,35,1,1,0,1,118,33714,1,0,0,0,0,1,0,0,1,0,0
2,40,1,0,1,1,90,22500,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,1,1,118,28095,1,0,0,0,0,1,0,0,1,0,0
2,58,1,1,1,1,190,32758,1,0,1,0,1,0,0,0,1,0,0
1,45,1,0,1,1,120,26666,1,0,0,0,0,0,1,0,1,0,0
2,42,1,1,1,1,172,40952,0,0,1,0,0,1,0,0,1,0,0
2,51,1,0,1,0,90,17647,1,0,0,0,0,1,0,0,1,0,0
2,46,1,1,1,1,168,36521,1,0,0,0,1,0,0,0,1,0,0
2,46,1,1,1,1,168,36521,1,0,0,0,0,1,0,0,1,0,0
3,121,0,0,1,1,385,31818,1,1,0,0,0,1,0,0,1,0,0
3,89,0,0,1,1,278,31235,1,1,0,0,0,1,0,0,1,0,0
3,89,0,0,0,1,300,33707,1,1,0,0,0,1,0,0,1,0,0
3,121,0,0,1,1,370,30578,1,1,0,0,0,0,1,0,1,0,0
4,89,0,0,1,1,280,31460,1,1,0,0,0,1,0,0,1,0,0
2,46,1,1,1,1,168,36521,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,166,39523,1,0,1,0,0,1,0,0,1,0,0
2,42,1,1,1,1,160,38095,1,1,0,0,0,0,1,0,1,0,0
2,42,1,1,1,1,150,35714,1,0,1,0,0,1,0,0,1,0,0
2,45,1,1,1,1,168,37333,1,0,0,0,0,1,0,0,1,0,0
2,42,1,0,1,1,130,30952,1,0,0,0,0,1,0,0,1,0,0
2,75,1,0,1,1,202,26933,1,1,0,0,1,0,0,0,1,0,0
3,85,1,0,1,1,251,29196,1,0,0,0,0,1,0,0,1,0,0
2,42,1,1,1,1,150,35714,1,0,0,0,0,0,1,0,1,0,0
1,39,1,1,1,1,120,30769,0,0,1,0,1,0,0,0,1,0,0
2,49,1,1,0,1,136,27676,0,0,0,1,1,0,0,0,1,0,0
2,42,1,0,1,1,130,30952,1,0,0,0,0,1,0,0,1,0,0
2,45,1,1,1,1,156,33986,1,0,0,0,0,1,0,0,1,0,0
2,51,1,1,1,1,150,29411,1,0,0,0,1,0,0,0,1,0,0
2,72,1,0,1,1,201,27916,1,0,0,0,0,0,1,0,1,0,0
2,32,1,0,1,1,80,25000,1,1,0,0,1,0,0,0,1,0,0
